step,trial_0,trial_1,trial_2,mean,std,best
2000.000,150.327,149.657,149.907,149.964,0.276,149.964
4000.000,73.728,72.966,73.424,73.373,0.313,73.373
6000.000,62.559,62.136,62.500,62.398,0.187,62.398
8000.000,52.682,52.352,52.337,52.457,0.159,52.457
10000.000,55.628,55.635,55.529,55.598,0.048,52.457
12000.000,34.531,34.158,34.601,34.430,0.194,34.430
14000.000,38.265,38.414,38.415,38.365,0.070,34.430
16000.000,32.332,32.416,32.806,32.518,0.206,32.518
18000.000,31.428,31.293,30.996,31.239,0.180,31.239
20000.000,31.285,31.877,31.007,31.389,0.363,31.239
22000.000,32.796,32.946,33.053,32.932,0.105,31.239
24000.000,29.626,29.606,29.363,29.532,0.120,29.532
