step,trial_0,trial_1,trial_2,mean,std,best
2000.000,181.686,183.138,181.677,182.167,0.686,182.167
4000.000,81.887,82.248,80.646,81.594,0.686,81.594
6000.000,55.425,55.161,55.575,55.387,0.171,55.387
8000.000,51.370,51.629,50.806,51.268,0.343,51.268
10000.000,50.406,50.558,50.940,50.634,0.224,50.634
12000.000,51.685,51.552,50.725,51.321,0.424,50.634
14000.000,36.155,36.254,36.063,36.157,0.078,36.157
16000.000,42.265,44.078,42.489,42.944,0.807,36.157
18000.000,28.996,28.497,29.520,29.005,0.418,29.005
20000.000,29.710,30.137,29.668,29.839,0.212,29.005
22000.000,27.172,26.470,26.856,26.833,0.287,26.833
24000.000,24.729,24.664,24.508,24.634,0.093,24.634
26000.000,27.597,27.039,27.330,27.322,0.228,24.634
