step,trial_0,trial_1,trial_2,mean,std,best
2000.000,153.023,152.759,152.511,152.765,0.209,152.765
4000.000,85.079,85.610,84.905,85.198,0.300,85.198
6000.000,71.660,71.192,70.550,71.134,0.455,71.134
8000.000,48.686,48.615,48.739,48.680,0.051,48.680
10000.000,48.167,48.900,49.305,48.791,0.471,48.680
12000.000,37.875,38.203,37.756,37.945,0.189,37.945
14000.000,34.315,34.414,34.323,34.351,0.045,34.351
16000.000,27.144,26.941,27.065,27.050,0.084,27.050
18000.000,28.720,28.983,28.585,28.763,0.165,27.050
20000.000,29.312,29.190,28.995,29.166,0.130,27.050
22000.000,28.563,28.315,28.144,28.341,0.172,27.050
24000.000,29.014,29.248,28.683,28.982,0.232,27.050
26000.000,26.905,26.389,26.524,26.606,0.219,26.606
28000.000,22.658,23.314,22.767,22.913,0.287,22.913
30000.000,24.546,24.303,23.976,24.275,0.234,22.913
32000.000,21.908,21.615,21.687,21.737,0.125,21.737
34000.000,23.712,24.122,23.855,23.896,0.170,21.737
36000.000,18.801,18.612,18.531,18.648,0.113,18.648
38000.000,21.878,21.829,21.379,21.696,0.225,18.648
40000.000,21.553,22.278,21.991,21.941,0.298,18.648
42000.000,21.988,22.072,21.867,21.976,0.084,18.648
44000.000,26.590,26.385,25.907,26.294,0.286,18.648
46000.000,18.758,18.582,18.934,18.758,0.144,18.648
48000.000,22.382,22.169,22.314,22.289,0.089,18.648
50000.000,22.964,22.714,23.095,22.925,0.158,18.648
52000.000,22.608,21.961,21.659,22.076,0.396,18.648
54000.000,21.588,21.484,21.455,21.509,0.057,18.648
56000.000,21.375,21.110,21.576,21.354,0.191,18.648
58000.000,20.377,20.368,19.668,20.138,0.333,18.648
60000.000,23.361,23.164,23.186,23.237,0.088,18.648
62000.000,18.421,18.562,18.586,18.523,0.073,18.523
64000.000,20.020,20.446,20.480,20.316,0.209,18.523
66000.000,21.716,21.982,22.211,21.970,0.202,18.523
68000.000,21.684,21.846,21.526,21.686,0.131,18.523
70000.000,20.247,19.974,20.446,20.222,0.194,18.523
72000.000,18.860,18.568,19.116,18.848,0.224,18.523
74000.000,18.452,18.497,18.554,18.501,0.042,18.501
76000.000,19.236,19.521,19.268,19.342,0.128,18.501
78000.000,20.596,20.205,20.809,20.537,0.250,18.501
80000.000,18.906,18.636,18.829,18.791,0.114,18.501
82000.000,19.116,19.587,19.597,19.433,0.224,18.501
84000.000,20.131,19.513,19.636,19.760,0.267,18.501
86000.000,20.758,20.521,20.792,20.690,0.121,18.501
88000.000,22.096,22.028,21.969,22.031,0.052,18.501
90000.000,24.517,24.148,23.877,24.180,0.262,18.501
92000.000,20.206,19.360,19.713,19.760,0.347,18.501
94000.000,19.674,19.801,20.164,19.880,0.207,18.501
96000.000,24.832,24.661,25.295,24.929,0.268,18.501
98000.000,18.126,18.075,18.272,18.158,0.083,18.158
100000.000,20.225,20.110,20.169,20.168,0.047,18.158
102000.000,19.955,20.148,20.129,20.077,0.087,18.158
104000.000,18.657,18.752,19.012,18.807,0.150,18.158
106000.000,19.715,20.388,20.206,20.103,0.284,18.158
108000.000,21.234,21.309,21.702,21.415,0.205,18.158
110000.000,20.468,20.397,20.602,20.489,0.085,18.158
112000.000,18.788,18.635,18.514,18.646,0.112,18.158
114000.000,17.588,17.645,17.828,17.687,0.102,17.687
116000.000,17.067,17.228,17.104,17.133,0.069,17.133
