step,trial_0,trial_1,trial_2,mean,std,best
2000.000,156.456,155.975,156.359,156.263,0.208,156.263
4000.000,101.420,101.075,100.330,100.942,0.455,100.942
6000.000,77.843,75.862,76.090,76.599,0.885,76.599
8000.000,57.973,57.649,57.935,57.852,0.145,57.852
10000.000,47.884,47.916,47.654,47.818,0.117,47.818
12000.000,36.902,37.780,37.758,37.480,0.409,37.480
14000.000,36.887,36.680,36.274,36.614,0.255,36.614
16000.000,37.206,36.945,36.879,37.010,0.141,36.614
18000.000,34.072,33.698,34.207,33.993,0.215,33.993
20000.000,34.385,34.414,34.205,34.335,0.092,33.993
22000.000,25.726,25.684,25.767,25.726,0.034,25.726
24000.000,28.195,27.228,27.466,27.630,0.411,25.726
26000.000,29.169,28.913,28.493,28.858,0.279,25.726
28000.000,24.649,24.371,24.130,24.383,0.212,24.383
30000.000,25.967,26.037,25.880,25.962,0.064,24.383
32000.000,30.344,30.074,30.256,30.225,0.113,24.383
34000.000,27.565,27.011,27.513,27.363,0.249,24.383
36000.000,28.898,28.765,28.614,28.759,0.116,24.383
38000.000,26.695,27.259,27.114,27.023,0.239,24.383
40000.000,23.392,23.932,23.714,23.679,0.222,23.679
42000.000,22.877,23.149,22.676,22.901,0.194,22.901
44000.000,25.394,25.499,25.205,25.366,0.122,22.901
46000.000,21.535,21.786,21.757,21.693,0.112,21.693
48000.000,22.792,23.023,22.561,22.792,0.188,21.693
50000.000,25.697,26.002,25.710,25.803,0.141,21.693
52000.000,28.980,28.889,29.056,28.975,0.068,21.693
54000.000,24.992,24.271,24.625,24.629,0.295,21.693
56000.000,25.423,25.155,25.224,25.267,0.114,21.693
58000.000,31.019,31.428,30.327,30.925,0.454,21.693
60000.000,23.155,23.515,23.115,23.262,0.180,21.693
62000.000,23.522,23.021,23.787,23.443,0.318,21.693
64000.000,25.950,25.416,25.228,25.531,0.306,21.693
66000.000,28.143,27.904,27.850,27.965,0.127,21.693
68000.000,26.239,26.367,26.146,26.251,0.090,21.693
70000.000,20.157,20.289,20.026,20.157,0.107,20.157
72000.000,22.132,21.897,22.282,22.104,0.158,20.157
74000.000,25.271,25.449,25.939,25.553,0.283,20.157
76000.000,20.207,19.757,20.320,20.095,0.243,20.095
